repository,contributors,commits
abb,10,202
app_manager,4,16
ar_track_alvar,14,130
cob_command_tools,31,1609
cob_control,24,937
cob_driver,49,2706
cob_manipulation,15,1198
cob_navigation,27,1304
cob_perception_common,11,247
ecl_core,4,242
ecl_lite,2,69
ecl_navigation,2,23
grizzly,5,257
grizzly_robot,3,155
husky,7,342
husky_robot,8,281
industrial_core,12,212
kobuki,13,1334
kobuki_core,11,1279
motoman,14,275
nao_extras,5,72
naoqi_driver,8,632
orocos_kinematics_dynamics,22,494
pr2_apps,6,250
pr2_common_actions,4,187
pr2_controllers,3,328
pr2_delivery,3,35
pr2_ethercat_drivers,7,341
pr2_gripper_sensor,6,39
pr2_kinematics,2,66
pr2_mechanism,12,292
pr2_navigation,7,194
pr2_power_drivers,1,214
pr2_robot,11,377
roboteq,5,90
ros_ethercat,4,182
schunk_modular_robotics,34,1270
shadow_robot_ethercat,11,1275
sr_core,10,1014
sr_interface,11,527
sr_ronex,12,877
sr_teleop,7,1331
sr_tools,4,104
turtlebot,26,1085
turtlebot_apps,25,768
turtlebot_arm,6,179
universal_robot,21,557
yujin_ocs,9,365
